code,name
8,UK Petra
10,Balitbang Dephan
12,Pussenkav TNI AD
20,Kobang diklat
21,Seskoad
25,Pusintelad
27,Rolitbang POLRI
29,Puspenerbad
30,Lemjiantek Kodiklat AD
35,Badan Litbang Kehutanan
43,SESPIM POLRI
44,Pussenif AD
1001,Universitas Sumatera Utara
1002,Universitas Negeri Medan
1004,Universitas Riau
1005,Poltekes Palembang
1008,Universitas Negeri Jakarta
1012,Universitas Pendidikan Indonesia
1015,Institut Pertanian Bogor
1016,Universitas Diponegoro
1018,Universitas Brawijaya
1021,Institut Teknologi Sepuluh November
1024,Universitas Sam Ratulangi
1025,Universitas Negeri Makassar
1026,Universitas Hasanuddin
1028,Universitas Mataram
1029,Universitas Negeri Gorontalo
1030,Universitas Pattimura
1031,Universitas Nusa Cendana
1032,Universitas Negeri Papua
1035,IKIP PGRI Madiun
1036,IKIP PGRI Semarang
1041,Institut Pertanian Stiper Yogyakarta
1043,Institut Seni Indonesia Denpasar
1044,Institut Seni Indonesia Yogyakarta
1046,Institut Teknologi Medan
1047,Institut Teknologi Nasional Malang
1049,Politeknik Negeri Bandung
1051,Politeknik Negeri Jakarta
1052,Politeknik Negeri Kupang
1054,Politeknik Negeri Medan
1055,Politeknik Negeri Padang
1058,Politeknik Negeri Pertanian Payakumbuh
1060,Politeknik Negeri Samarinda
1061,Politeknik Negeri Semarang
1062,Politeknik Negeri Sriwijaya
1063,Politeknik Negeri Ujung Pandang
1065,Politeknik Pertanian Kupang
1068,Politeknik Pos Indonesia
1069,STIPER Jember
1070,STSI Bandung
1071,STSI Padang Panjang
1074,Universitas Bengkulu
1075,Universitas Haluoleo
1077,Universitas Negeri Malang
1079,Universitas Negeri Padang
1080,Universitas Negeri Semarang
1082,Universitas Negeri Yogyakarta
1083,Universitas Negeri Sebelas Maret
1084,Universitas Syiah Kuala
1086,Universitas Terbuka
1088,Universitas Udayana
1090,Politeknik Negeri Bali
2004,Universitas Trisakti
2005,Universitas Nasional
2006,Universitas 17 Agustus 1945 Surabaya
2007,Universitas Muhammadiyah Jakarta
2008,Universitas Atma Jaya
2009,Universitas Atmajaya Yogyakarta
2014,Universitas Islam Bandung
2018,Universitas Kristen Duta Wacana
2020,Universitas Kristen Satya Wacana
2021,Universitas Muhammadiyah Malang
2022,Universitas Surabaya
2023,Universitas Hang Tuah
2024,Universitas Petra
2032,Universitas Kristen Artha Wacana
2038,Akademi Medis Veteriner Puragabaya
2040,Akademi Pariwisata Bunda
2041,Akademi Pariwisata Indraphrasta Yogyakarta
2044,Akademi Pertanian Yogyakarta
2046,Akademi Peternakan Karang Anyar
2050,Akpar Muhammadiyah Jember
2053,Politeknik Kotabaru
2054,Politeknik LPP Yogyakarta
2055,Politeknik Manufaktur Bandung
2057,Politeknik PPKP Yogyakarta
2060,Politeknik Surakarta
2061,Sekolah Tinggi Ekonomi Islam Yogyakarta
2064,Sekolah Tinggi Ilmu Administrasi Mataram
2066,Sekolah Tinggi Ilmu Bahasa Asing Dinamika Banjarbaru
2068,Sekolah Tinggi Ilmu Ekonomi Darma Jaya Bandar Lampung
2069,Sekolah Tinggi Ilmu Ekonomi Rahmaniyah Sekayu
2070,Sekolah Tinggi Ilmu Ekonomi Adi Unggul Bhirawa Surakarta
2072,Sekolah Tinggi Ilmu Ekonomi Al-Anwar Mojokerto
2073,Sekolah Tinggi Ilmu Ekonomi Atma Bhakti Surakarta
2075,Sekolah Tinggi Ilmu Indonesia Surabaya
2077,Sekolah Tinggi Ilmu Ekonomi Kosgoro
2078,Sekolah Tinggi Ilmu Ekonomi Malang Kucecwara Malang
2079,Sekolah Tinggi Ilmu Ekonomi Mandala
2081,Sekolah Tinggi Ilmu Ekonomi Stikubank Semarang
2082,Sekolah Tinggi Ilmu Ekonomi Surakarta
2085,Sekolah Tinggi Ilmu Ekonomi Widya Wiwaha Yogyakarta
2086,Sekolah Tinggi Ilmu Kesehatan Hang Tuah
2091,Sekolah Tinggi Ilmu Pertanian Surya Dharma
2092,Sekolah Tinggi Ilmu Pertanian Cokroaminoto PalopoSekolah Tinggi Ilmu Pertanian STIPER Yamin
2093,Sekolah Tinggi Ilmu Keguruan dan ilmu Pendidikan
2099,Sekolah Tinggi Manajemen Informatika dan Teknik Komputer Surabaya
2101,Sekolah Tinggi Teknik Lingkungan Yogyakarta
2102,Sekolah Tinggi Teknologi Adisutjipto Yogyakarta
2104,Sekolah Tinggi Teknologi Kelautan Balikdiwa Makassar
2105,Sekolah Tinggi Teknologi Nasional Yogyakarta
2108,Universitas 17 Agustus 1945 Semarang
2109,Universitas 17 Agustus Jakarta
2112,Universitas Achmad Yani Banjarmasin
2113,Universitas Ahmad Dahlan Yogyakarta
2122,Universitas Bung Hatta
2123,Universitas Cendrawasih
2124,Universitas Cokroaminoto Makassar
2126,Universitas Djuanda Bogor
2128,Universitas Dr. SOETOMO
2130,Universitas Gajayana Malang
2131,Universitas Galuh Ciamis
2132,Universitas Gunadarma
2134,Universitas Hindu Indonesia
2135,Universitas IBA Palembang
2136,Universitas Islam 45 Bekasi
2138,Universitas Islam Batik Surakarta
2139,Universitas Islam Indonesia
2142,Universitas Islam Kalimantan Moch.Arsyad
2144,Universitas Islam Makassar
2145,Universitas Islam Malang
